,"Razão Social","Nome do Laboratório","Situação","Endereço","Bairro","CEP","Cidade","UF","Telefone","Fax","Grupo de Serviço de Calibração","Gerente tecnico","Email"
480,"Exata Serviços Metrológicos Ltda","Exata Metrologia","
										Ativo                                    ","
										Rua Dr. Wenceslau Braz, 712                                    ","
										Centro                                    ","
										37002082                                    ","
										Varginha                                    ","
										MG                                    ","
										(35) 3067.1000                                    ","
","MASSA","
										Carlos Ernesto Natali
                                    ","lab@exatametrologia.com.br"
481,"Mastertec Manutenção em Equipamentos Ltda-EPP","Mastertec Manutenção em Equipamentos Ltda-EPP","
										Ativo                                    ","
										Rua Maria Madalena Andriotti Minuzzo, 233                                    ","
										Deolinda Goulart                                    ","
										94180120                                    ","
										Gravataí                                    ","
										RS                                    ","
										(51) 3488.0242                                    ","
","MASSA","
										Fabricio Borges
                                    ","fabricio@mastertecrs.com.br"
482,"MEC-Q Comércio e Serviços de Metrologia Industrial Ltda.","MEC-Q Comércio e Serviços de Metrologia Industrial Ltda","
										Ativo                                    ","
										Rua Apucarana, 234                                    ","
										Cruzeiro                                    ","
										83010050                                    ","
										São José dos Pinhais                                    ","
										PR                                    ","
										(41) 3534 4434                                    ","
										(41) 3534.4434                                    ","MASSA","
										Douglas Dagoberto Soares de Camargo
                                    ","douglas@mecq.com.br"
483,"MEC-Q Comércio e Serviços de Metrologia Industrial Ltda","LABORATÓRIO MEC-Q UNIDADE TAUBATÉ-SP","
										Ativo                                    ","
										RUA VERA VASCONCELLOS SILVA, 720                                    ","
										Dist. Ind. do Una                                    ","
										12072290                                    ","
										Taubaté                                    ","
										SP                                    ","
										(12) 2123.6100                                    ","
										(12) 2123.6100                                    ","MASSA","
										Douglas Dagoberto Soares de Camargo
                                    ","douglas@mecq.com.br"
484,"Instituto de Metrologia e Qualidade do Estado de Minas Gerais","Gerência de Laboratórios","
										Ativo                                    ","
										Rua Cristiano França Teixeira Guimarães, 80                                    ","
										Cinco                                    ","
										32010130                                    ","
										Contagem                                    ","
										MG                                    ","
										(31) 3399.7130                                    ","
										(31) 3399.7104                                    ","MASSA","
										Marcelo Motta Campello
                                    ","laboratorio@ipem.mg.gov.br"
485,"Laboratório de Metrologia Maringá Eireli - ME","Laboratório de Metrologia Maringá Eireli - ME","
										Suspensão Total  desde 02/12/2019                                    ","
										Avenida Dr. Alexandre Rasgulaeff, 5.435                                    ","
										Jardim Real                                    ","
										87083000                                    ","
										Maringá                                    ","
										PR                                    ","
										(44) 3306-3500                                    ","
","MASSA","
										PAULO RICARDO MORAIS DA SILVA
                                    "," gerentetecnico@gamacal.com.br"
486,"Centro de Balanças Ltda.","Centro de Balanças","
										Ativo                                    ","
										Rua Cumari,196                                    ","
										Jd. Planalto                                    ","
										13145131                                    ","
										Paulinia                                    ","
										SP                                    ","
										(19) 3874.3477                                    ","
										(19) 3874.3477                                    ","MASSA","
										Denilson Leandro dos Santos
                                    ","denilson@centrodebalancas.com.br"
487,"BERTOLDI & BUZATTO LTDA ME","MEDIÇÃO UBERLÂNDIA","
										Ativo                                    ","
										Rua Nicarágua, 1390                                    ","
										Tibery                                    ","
										38405100                                    ","
										Uberlândia                                    ","
										MG                                    ","
										(34) 3216.8844                                    ","
","MASSA","
										Otávio José Bertoldi
                                    ","medicaouberlandia@medicaonet.com.br"
488,"RS EQUIPAMENTOS E SERVIÇOS - EIRELI EPP","Laboratório de Metrologia Peso Exato","
										Ativo                                    ","
										Rua Bento Gonçalves, 335                                    ","
										São Frco. de Assis                                    ","
										85660000                                    ","
										Dois Vizinhos                                    ","
										PR                                    ","
										(46) 3536.1348                                    ","
										(46) 3536.6554                                    ","MASSA","
										Rodrigo Mezzalira
                                    ","rodrigo@pesoexatobalancas.com.br"
489,"EBM - Empresa Brasileira de Metrologia LTDA.ME","EBM - Empresa Brasileira de Metrologia LTDA.ME","
										Suspensão Total  desde 13/07/2018                                    ","
										AVENIDA BRASIL, 18610A                                    ","
										COELHO NETO                                    ","
										21530000                                    ","
										Rio de Janeiro                                    ","
										RJ                                    ","
										(21) 2472.5858                                    ","
										(21) 2472.2145                                    ","MASSA","
										Alberto Cordeiro de Paola
                                    ","alberto@ebmmetrologia.com.br"
490,"Serviço Nacional de Aprendizagem Industrial- SENAI","INSTITUTO SENAI DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO - LABORATÓRIO DE CALIBRAÇÃO","
										Ativo                                    ","
										Rua Belém, 844                                    ","
										Centro                                    ","
										86026000                                    ","
										Londrina                                    ","
										PR                                    ","
										(43) 3294.5135                                    ","
										(43) 3294.5108                                    ","MASSA","
										Lucas Fernando Garcia
                                    ","lucas.garcia@pr.senai.br"
491,"SARTORIUS DO BRASIL LTDA","SARTO SERVICE BRASIL","
										Ativo                                    ","
										AV. SENADOR VERGUEIRO, 2962                                    ","
										ANCHIETA                                    ","
										09600004                                    ","
										SÃO BERNARDO DO CAMP                                    ","
										SP                                    ","
										(11) 4451-6226                                    ","
										(11) 4451-4369                                    ","MASSA","
										William Casado de Souza
                                    ","william.souza@sartorius.com"
492,"Analógic Assistência Técnica e Comércio de Balanças Ltda","Analógic Assistência Técnica e Comércio de Balanças Ltda","
										Ativo                                    ","
										RUA ARAPONGA, 271                                    ","
										PORTAL DAS LARANJEIR                                    ","
										07745040                                    ","
										CAIEIRAS                                    ","
										SP                                    ","
										(11) 4488.3963                                    ","
										(11) 4488.3963                                    ","MASSA","
										José Bonifácio Alves Filho
                                    ","analogic_balancas@hotmail.com"
493,"A&L Soluções Metrológicas Eireli - ME","Laboratório Medição Divinópolis","
										Ativo                                    ","
										Rua Fortaleza, 240                                    ","
										Bom Pastor                                    ","
										35500198                                    ","
										Divinópolis                                    ","
										MG                                    ","
										(37) 3215.7072 (37) 3511-7072                                    ","
","MASSA","
										Adriano La´ Cerda Cardoso
                                    ","medicaodivinopolis@medicaodivinopolis.com.br"
494,"Labstore Equipamentos para Laboratórios LTDA","Laboratório Labstore","
										Ativo                                    ","
										Rua Da Divina Providencia, 79                                    ","
										Santa Quitéria                                    ","
										80310010                                    ","
										Curitiba                                    ","
										PR                                    ","
										(41) 3269.8900                                    ","
										(41) 3269.8900                                    ","MASSA","
										Leandro Leal Silva
                                    ","tecnica@labstore.com.br"
495,"Duarte Balanças Ltda","Duarte Balanças Ltda","
										Ativo                                    ","
										Avenida Almirante Barroso, 350                                    ","
										Boa Vista                                    ","
										37030320                                    ","
										Varginha                                    ","
										MG                                    ","
										(35) 3212.3281                                    ","
										(35) 3212.1573                                    ","MASSA","
										Bruno Pereira
                                    ","tecnico@duartebalancas.com.br"
496,"LRM Laboratório Metrológico Comércio e Serviços Ltda.","LRM Metrologia","
										Ativo                                    ","
										Rua Dr. Paulo de Andrade Arantes, 29                                    ","
										PARQUE MARIA LUIZA                                    ","
										03556050                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 2958.8054                                    ","
","MASSA","
										Mauricio Vara Felippe Oliveira
                                    ","mauricio@lrmmetrologia.com.br"
497,"STD Serviços em Metrologia Ltda","Laboratório Medição Salvador","
										Ativo                                    ","
										RUA ARAPONGA, 437, LT 3 e 4, GALPÃO 11                                    ","
										PITANGUEIRAS                                    ","
										42701330                                    ","
										LAURO DE FREITAS                                    ","
										BA                                    ","
										(71) 3565.5660                                    ","
										(71) 3565.5660                                    ","MASSA","
										Ronaldo Gomes da Silva
                                    ","medicaosalvador@medicaosalvador.com.br"
498,"MEDIÇÃO SOLUÇÕES METROLÓGICAS INTEGRADAS LTDA","LABORATÓRIO MEDIÇÃO GOIÁS","
										Ativo                                    ","
										Rua Itapaci - QD 46ª - LT 24                                    ","
										Vila Brasília                                    ","
										74905380                                    ","
										Aparecida de Goiânia                                    ","
										GO                                    ","
										(62) 3249.4456                                    ","
										(62) 3249.4456                                    ","MASSA","
										ELIÂNIO MOTA CARDOSO
                                    ","elianio@medicaogoias.com.br"
499,"Fluxo Eletrônica Industrial Ltda","Laboratório de Calibração - LABCALI","
										Ativo                                    ","
										Avenida Nereu Ramos, 3.190/E                                    ","
										Líder                                    ","
										89805103                                    ","
										Chapecó                                    ","
										SC                                    ","
										(49) 2049.6200                                    ","
","MASSA","
										Alexandre Leandro Basei
                                    ","alexandre@fluxo.ind.br"
500,"Medical Center Metrologia Eireli EPP","Laboratório Medical Center","
										Ativo                                    ","
										Avenida SETE SETEMBRO ,2869                                    ","
										CENTRO                                    ","
										76963851                                    ","
										CACOAL                                    ","
										RO                                    ","
										(69) 3441.4721                                    ","
","MASSA","
										DEYVID PAIXÃO CALOU DE OLIVEIRA 
                                    ","LMCQUALIDADE@MEDICALCENTER.NET.BR"
501,"JSM Equipamentos Científicos Ltda. ME","JSM Equipamentos Científicos Ltda. ME","
										Ativo                                    ","
										Rua Dante Antônio Malagotti, 61/Casa                                    ","
										Passa Vinte                                    ","
										88133110                                    ","
										Palhoça                                    ","
										SC                                    ","
										(48) 3242.2121                                    ","
										(48) 3023.0921                                    ","MASSA","
										José Sirineu Machado
                                    ","contato@jsmequipamentos.com.br"
502,"PRESTÉCNICA COMÉRCIO LTDA","PRESTÉCNICA COMÉRCIO LTDA","
										Ativo                                    ","
										JOSÉ FARIA DA ROCHA                                    ","
										CID. JARDIM ELDORADO                                    ","
										32315040                                    ","
										CONTAGEM                                    ","
										MG                                    ","
										(31) 3395.5454                                    ","
										(31) 3395.5454                                    ","MASSA","
										ORCIMAR DE SOUZA SACRAMENTO
                                    ","supervisao@prestecnica.com.br"
503,"MQT Serviços Metrológicos LTDA","MQT Serviços Metrológicos LTDA","
										Ativo                                    ","
										RUA DOS MARISTAS, 320                                    ","
										BANDEIRANTES                                    ","
										32240510                                    ","
										Contagem                                    ","
										MG                                    ","
										(31) 2567.6060                                    ","
","MASSA","
										Daivson Amador Eglesias Quintaneiro
                                    ","diretoria@mqtservice.com.br"
504,"Agência Estadual de Metrologia de Mato Grosso do Sul","Laboratório de Calibração de Massas","
										Ativo                                    ","
										Avenida Fábio Zahran ,3231                                    ","
										Jardim América                                    ","
										79080761                                    ","
										Campo Grande                                    ","
										MS                                    ","
										(67) 3317.5779                                    ","
										(67) 3342.1219                                    ","MASSA","
										Alex Balero Lessa
                                    ","alexbalero@aem.ms.gov.br"
505,"TQI Comércio e Serviço de Equipamentos de Medição Ltda","TQI Comércio e Serviço de Equipamentos de Medição Ltda","
										Ativo                                    ","
										Travessa Jean Jacks Wirts, 64                                    ","
										Centro                                    ","
										75020300                                    ","
										Anápolis                                    ","
										GO                                    ","
										(62) 3317.3307                                    ","
","MASSA","
										Glauber de Jesus Campos
                                    ","glauber@teknopar.com.br"
506,"Itu Balanças Ltda","Itu Balanças","
										Ativo                                    ","
										Avenida Caetano Rugieri, 2411                                    ","
										Pq. N.Sa. da Candelá                                    ","
										13301331                                    ","
										Itu                                    ","
										SP                                    ","
										(11) 4023.0772                                    ","
","MASSA","
										Luciano Henrique Figueira de Faria
                                    ","itubalancas@itubalancas.com.br"
507,"BG Comércio de Balanças Ltda EPP","BG Comércio de Balanças Ltda. -  EPP","
										Ativo                                    ","
										Rua Mineira, 100                                    ","
										Itapegica                                    ","
										07043120                                    ","
										Guarulhos                                    ","
										SP                                    ","
										(11) 2414.3928                                    ","
","MASSA","
										Marcelo N. Neves
                                    ","marcelo.neves@balancasgerais.com.br"
508,"Alfa Mare Instrumentos Científicos e Médicos Ltda.","Alfa Mare Laboratório de Calibração","
										Ativo                                    ","
										Rua 1.029, 278 - Quadra 70 - Lote 19                                    ","
										Setor Pedro Ludovico                                    ","
										74823140                                    ","
										Goiânia                                    ","
										GO                                    ","
										(62) 4141.6997                                    ","
","MASSA","
										TALISSON DA SILVA NUNES
                                    ","suportego@alfamare.com.br"
509,"Qualitech Service Manutenção e Comércio de Equipamentos Eletrônicos Ltda. - ME","Qualitech Service Manutenção e Comércio de Equipamentos Eletrônicos Ltda. - ME","
										Ativo                                    ","
										RUA PEDRO VOSS, 246                                    ","
										Vila Carrão                                    ","
										03437000                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3539.1904                                    ","
","MASSA","
										Clayton da Silva Santos
                                    ","clayton@qualitechservice.com.br"
510,"Alfa Instrumentos Eletrônicos S.A.","Alfa Instrumentos Eletrônicos S.A.","
										Ativo                                    ","
										Rua Coronel Mário de Azevedo, 138                                    ","
										Limão                                    ","
										02710020                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3952.2299                                    ","
										(11) 3961.4266                                    ","MASSA","
										Marcos Vinicius Soares BORGES
                                    ","metrologia@alfainstrumentos.com.br"
511,"Cottonil do Brasil Ltda. - EPP","Cottonil do Brasil Ltda. - EPP","
										Ativo                                    ","
										Avenida 25 de Janeiro, 48                                    ","
										Centro                                    ","
										83420000                                    ","
										Quatro Barras                                    ","
										PR                                    ","
										(41) 3672.2551                                    ","
","MASSA","
										Anderson Eduardo Bezerra da Silva
                                    ","lab@cottonil.com.br"
512,"Simquis Equipamentos Científicos Ltda.","Simquis - Laboratório de Calibração","
										Ativo                                    ","
										RUA ARISTIDES LOBO                                    ","
										RIO COMPRIDO                                    ","
										20250450                                    ","
										RIO DE JANEIRO                                    ","
										RJ                                    ","
										(21) 2502.7395                                    ","
","MASSA","
										Lázaro Cezar da Silva Salomão
                                    ","assistenciatecnica@simquis.com.br"
513,"Fernando Cesar Silveira - Marilia - ME","Fernando Cesar Silveira - Marilia - ME","
										Suspensão Total  desde 09/04/2018                                    ","
										Rua Pernambuco, 639                                    ","
										Banzato                                    ","
										17515120                                    ","
										Marília                                    ","
										SP                                    ","
										(14) 3413.9039                                    ","
","MASSA","
										Guilherme Matheus Rodrigues
                                    ","qualidade@balancasmarilia.com.br"
514,"Servical Serviços de Calibração Ltda.","Laboratorio Medição Juiz de Fora - Medição Soluções Metrológicas Integradas","
										Ativo                                    ","
										Rua Jose Manoel de Oliveira, 15 / Casa 101                                    ","
										Cerâmica                                    ","
										36080340                                    ","
										Juiz de Fora                                    ","
										MG                                    ","
										(32) 3082.6607                                    ","
","MASSA","
										EVANDRO DE MEDEIROS RODRIGUES
                                    ","gerentetecnicojuizdefora@medicaojuizdefora.com.br"
515,"Certifique Soluções Integradas Eireli - Epp","Certifique Soluções Integradas Eireli - Epp","
										Ativo                                    ","
										Rua Domingos Caldas, 30                                    ","
										Madre Gertrudes                                    ","
										30512730                                    ","
										Belo Horizonte                                    ","
										MG                                    ","
										(31) 3386-5574                                    ","
										(31) 3386-5574                                    ","MASSA","
										Miguel Gustavo Barthel Rosa 
                                    ","miguelbarthel@certificonline.com.br"
516,"RSL CIENTIFICA COMÉRCIO DE EQUIPAMENTOS E SERVIÇOS LTDA","Laboratório de Metrologia RSL","
										Ativo                                    ","
										Rua Aleixo Wzorek, 978                                    ","
										SABIÁ                                    ","
										83708070                                    ","
										ARAUCÁRIA                                    ","
										PR                                    ","
										(41) 4114-0108                                    ","
","MASSA","
										Rodoval R. Filho
                                    ","gerencia@rslcientifica.com.br"
517,"PADRÃO METROLOGIA LTDA - ME","PADRÃO METROLOGIA","
										Ativo                                    ","
										Rua 05 ,115/QD. H LT 8                                    ","
										SANTA IZABEL II ETP.                                    ","
										75083425                                    ","
										ANÁPOLIS                                    ","
										GO                                    ","
										(62) 3099-6229                                    ","
","MASSA","
										GERALDO ALVES LEAL
                                    ","geraldo@padraometrologia.com.br"
518,"EQB Soluções Metrológicas e Comércio de Equipamentos e Peças EIRELI","EQB Soluções Metrológicas e Comércio de Equipamentos e Peças EIRELI","
										Ativo                                    ","
										AV. Senador Souza Naves, 384                                    ","
										Três Marias                                    ","
										83030620                                    ","
										São José dos Pinhais                                    ","
										PR                                    ","
										(41) 3287.1009                                    ","
										(41) 3287-7454                                    ","MASSA","
										Guilherme Matheus Rodrigues
                                    ","qualidade@equilibriobalancas.com.br"
519,"TOLEDO DO BRASIL INDÚSTRIA DE BALANÇAS LTDA","TOLEDO DO BRASIL - FILIAL SSA","
										Ativo                                    ","
										LoteamentO VARANDAS TROPICAIS ,S/N - Q.1/LOT. 20                                    ","
										PITANGUEIRAS                                    ","
										42700000                                    ","
										LAURO DE FREITAS                                    ","
										BA                                    ","
										(71) 3505.9803                                    ","
","MASSA","
										Luciano da Silva Esteves
                                    ","luciano.esteves@toledobrasil.com.br"
520,"Ambientalis Análises de Ambientes LTDA","Ambientalis Análises de Ambientes","
										Ativo                                    ","
										Rua Irmã Benwarda, 35, Sala 01                                    ","
										Centro                                    ","
										88015270                                    ","
										Florianópolis                                    ","
										SC                                    ","
										(48) 3028.3069                                    ","
","MASSA","
										Rodrigo Dresch
                                    ","metrologia@ambientalis.com"
521,"Z. M. MANUTENÇÃO E REPARAÇÃO DE INSTRUMENTOS LTDA","Laboratório Medição Cuiabá - Medição Soluções Metrológicas Integradas","
										Ativo                                    ","
										RUA DEZESSEIS                                    ","
										BOA ESPERANÇA                                    ","
										78068435                                    ","
										CUIABÁ                                    ","
										MT                                    ","
										(65) 3634.3449                                    ","
","MASSA","
										THIAGO ZAGO ANGELO
                                    ","tecnicocuiaba@medicaocuiaba.com.br"
522,"Confilab Calibração e Medição Ltda","Confilab","
										Ativo                                    ","
										Rua Pedro José Senger, 300                                    ","
										Vila Haro                                    ","
										18015000                                    ","
										Sorocaba                                    ","
										SP                                    ","
										(15) 3227.6572                                    ","
","MASSA","
										Bruno F R Martins
                                    ","bruno@confilab.com.br"
523,"José Marcos Teixeira Vinhedo - ME","Balanças Vinhedo","
										Ativo                                    ","
										Avenida Independência, 6278                                    ","
										Nova Vinhedo                                    ","
										13284170                                    ","
										Vinhedo                                    ","
										SP                                    ","
										(19) 3876.4943                                    ","
","MASSA","
										Felipe Dandolo Machado
                                    ","qualidade@balancasvinhedo.com.br"
524,"XCAL Calibrações e Ensaios EIRELI-EPP","XCAL Calibrações e Ensaios EIRELI-EPP","
										Ativo                                    ","
										Rua Dr. Joaquim Augusto de Camargo, 164                                    ","
										Parque Boturussu                                    ","
										03803020                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3938.4884                                    ","
","MASSA","
										Rodrigo Gomes
                                    ","contato@xcal.com.br"
525,"INSTRUMENTAÇÃO CIENTIFICA ASSISTEC LTDA","INSTRUMENTAÇÃO CIENTIFICA ASSISTEC","
										Ativo                                    ","
										Rua AMAZONIA ,198                                    ","
										JARDIM BRASIL 1                                    ","
										53230430                                    ","
										OLINDA                                    ","
										PE                                    ","
										(81) 3241.5391                                    ","
","MASSA","
										DAN ASSIS SETOUE
                                    ","DAN_METROLOGIA@ASSISTECLTDA.COM.BR"
526,"WL COMERCIO E CALIBRACAO EM PESOS PADRAO LTDA - ME","WL PESOS PADRÃO","
										Ativo                                    ","
										Rua Manoel Lopes da Cunha ,115/Casa 1                                    ","
										Vila Mangalot                                    ","
										05132070                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3641.3860                                    ","
","MASSA","
										Mislene da Silva Santos
                                    ","luzia@wlpesospadrao.com.br"
527,"Precisão Automação em Balanças Ltda","Precisão Automação em Balanças Ltda","
										Ativo                                    ","
										Rua Dr José Marcelino de Resende, 22                                    ","
										Parque do Retiro                                    ","
										37018260                                    ","
										Varginha                                    ","
										MG                                    ","
										(35) 3067.2313                                    ","
","MASSA","
										Jonas Oliveira Duarte
                                    ","precisao@precisaoautomacaobalancas.com.br"
528,"TOYOKO Metrologia e Manutenção de Equipamentos Ltda","Toyoko Metrologia","
										Suspensão Total  desde 06/12/2019                                    ","
										Rua Luigi Bassi, 90                                    ","
										Vila Império                                    ","
										04407110                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 5621.0136                                    ","
","MASSA","
										SÉRGIO KOHATSU
                                    ","FINANCEIRO@TOYOKO.COM.BR"
529,"WILSON ROBERTO ANTUNES VIEIRA - ME","PESO FORTE BALANÇAS","
										Ativo                                    ","
										Rua Benedito Ferreira Telles, 121                                    ","
										Jd. Simus                                    ","
										18055270                                    ","
										Sorocaba                                    ","
										SP                                    ","
										(15) 3318.1729                                    ","
","MASSA","
										Willian Vieira
                                    ","qualidade@pesoforte.com"
530,"META CALIBRAÇÕES EIRELI","META CALIBRAÇÕES","
										Ativo                                    ","
										Otávio Rosolém                                    ","
										Jd.Terras St Antonio                                    ","
										13185563                                    ","
										Hortolândia                                    ","
										SP                                    ","
										(19) 3809.1051                                    ","
","MASSA","
										Anderson Maicon Gonçalves
                                    ","qualidade1@metacalibracoes.com.br"
531,"Técnica Balanças Eletrônicas EIRELI","Técnica Metrologia","
										Ativo                                    ","
										Avenida Rio Amazonas ,1560                                    ","
										Residencial Amazonas                                    ","
										14406010                                    ","
										Franca                                    ","
										SP                                    ","
										(16) 3707.3619                                    ","
","MASSA","
										Caio Mussi Taranto
                                    ","metrologia@tecnicabalancas.com.br"
532,"Zandonadi Balanças Ltda EPP","ZANDONADI BALANÇAS","
										Ativo                                    ","
										RUA VAL PORTO, 207                                    ","
										SALGADO FILHO                                    ","
										96202700                                    ","
										RIO GRANDE                                    ","
										RS                                    ","
										(53) 3231.3336                                    ","
","MASSA","
										SOLENIR DE FREITAS FERREIRA
                                    ","CONTATO@ZANDONADIBALANCAS.COM"
533,"JOSÉ GUILHERME SCHLAPAK  ME","JGS QUALIDADE E METROLOGIA","
										Ativo                                    ","
										WINSTON CHURCHILL                                    ","
										CAPÃO RASO                                    ","
										81150050                                    ","
										CURITIBA                                    ","
										PR                                    ","
										(41) 3039.9317                                    ","
","MASSA","
										José Guilherme Schlapak
                                    ","diretoria@jgsmetrologia.com.br"
534,"Lana Calibração de Instrumentos e Manutenções LTDA","Lana Metrologia","
										Ativo                                    ","
										Estrada Itacolomi ,3855                                    ","
										Santa Cruz                                    ","
										94170058                                    ","
										Gravataí                                    ","
										RS                                    ","
										(51) 3432.0035                                    ","
","MASSA","
										Maurício Rodrigues Durão
                                    ","mauricio.rodrigues@grupolana.com.br"
535,"SMART - SOLUÇÕES EM PESAGEM, COMÉRCIO E ASSISTÊNCIA TÉCNICA EM BALANÇAS LTDA","SMART - SOLUÇÕES EM PESAGEM","
										Ativo                                    ","
										Rua Rouxinol ,67                                    ","
										Laranjeiras                                    ","
										07745065                                    ","
										Caieiras                                    ","
										SP                                    ","
										(11) 4116.4143                                    ","
										(11) 4116.4143                                    ","MASSA","
										Régis Kléber Luz
                                    ","diretoria@smartbalancas.com.br"
536,"ER Analítica Ltda EPP","ER Analítica - Laboratório de Calibração","
										Ativo                                    ","
										Itaici                                    ","
										Jardim Itajaí                                    ","
										13224250                                    ","
										VARZEA PAULISTA                                    ","
										SP                                    ","
										(11) 2816.1800                                    ","
","MASSA","
										Renato F. Rainho
                                    ","renato@eranalitica.com.br"
537,"A.D. Gosmini Balanças ME","Exacta Balanças","
										Ativo                                    ","
										Rua Rio Grande do Norte ,144/Casa                                    ","
										Parque Industrial                                    ","
										13601341                                    ","
										Araras                                    ","
										SP                                    ","
										(19) 3541.1699                                    ","
										(19) 3541.1699                                    ","MASSA","
										Ayron Gosmini
                                    ","exactabalancas@hotmail.com"
538,"Calibrabem Ltda-Me","LABORATÓRIO MEDIÇÃO CURITIBA  -  MEDIÇÃO SOLUÇÕES METROLÓGICAS INTEGRADAS","
										Ativo                                    ","
										Rua João Chaves, 447/C 07                                    ","
										XAXIM                                    ","
										81810330                                    ","
										CURITIBA                                    ","
										PR                                    ","
										(41) 3057.1708                                    ","
","MASSA","
										FABIO ALVES SOARES
                                    ","comercialcuritiba@medicaocuritiba.com.br"
539,"Pontifícia Universidade Católica do Rio Grande do Sul - PUC/RS","Laboratórios Especializados em Eletro-Eletrônica - Labelo","
										Ativo                                    ","
										AV. IPIRANGA, 6681- PRÉDIO 30 - BLOCO A - SALA 210                                    ","
										PARTENON                                    ","
										90619900                                    ","
										PORTO ALEGRE                                    ","
										RS                                    ","
										(51) 3320- 3551                                    ","
										(51) 3320-3901                                    ","ÓPTICA","
										Rodrigo Leao Mianes
                                    ","labelo@pucrs.br"
540,"Sergio Luiz Lenzi","K&L Laboratório de Metrologia Lenzi Ltda.","
										Ativo                                    ","
										Rua Sorocaba, 254                                    ","
										Floresta                                    ","
										89212210                                    ","
										Joinville                                    ","
										SC                                    ","
										(47) 3426-1712                                    ","
										(47) 3426-1712                                    ","ÓPTICA","
										Mauro Godinho
                                    ","gerencia.tecnica@kellab.com.br."
541,"MEC-Q Comércio e Serviços de Metrologia Industrial Ltda.","Laboratório de Metrologia - MEC-Q/BA","
										Ativo                                    ","
										Avenida Jorge Amado S/N CP 78                                    ","
										Parque das Palmeiras                                    ","
										42800970                                    ","
										Camaçari                                    ","
										BA                                    ","
										(71) 3627-6141 / (11)3463-8205                                    ","
										(71) 3632-8702                                    ","ÓPTICA","
										DOUGLAS D.S. DE CAMARGO
                                    ","douglas@mecq.com.br"
542,"FUNDAÇÃO CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOMUNICAÇÕES","LABORATÓRIO DE CALIBRAÇÃO","
										Ativo                                    ","
										Rua Dr. Ricardo Benetton Martins, 1.000 Parque II                                    ","
										Polo Alta Tecnologia                                    ","
										13086902                                    ","
										F Pau D´alho Campina                                    ","
										SP                                    ","
										19-37054190/7132/6010( COMERC)                                    ","
										(19) 3705-6120                                    ","ÓPTICA","
										ELISABETE APARECIDA GENEROSO ZAGO
                                    ","betecida@cpqd.com.br"
543,"Visomes Comercial Metrológica Ltda.","Visomes Metrologia","
										Ativo                                    ","
										Rua Joaquim dos Santos, 181                                    ","
										RIO BONITO                                    ","
										04823080                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 5662 9911                                    ","
										(11) 5666 9816                                    ","ÓPTICA","
										RODOVAL RAIMUNDO FILHO
                                    ","rodoval@visomes.com.br"
544,"MEC-Q Comércio e Serviços de Metrologia Industrial Ltda.","Laboratório MEC-Q - Unidade SP","
										Ativo                                    ","
										Rua Francisco Bonilha, 19                                    ","
										Vila Príncipe de Gal                                    ","
										09060550                                    ","
										Santo André                                    ","
										SP                                    ","
										(11) 3463-8211                                    ","
										(11) 3463-8224                                    ","ÓPTICA","
										Douglas Dagoberto Soares de Camargo
                                    ","douglas@mecq.com.br"
545,"GERO COMÉRCIO E SERVIÇOS LTDA","GERO COMÉRCIO E SERVIÇOS LTDA","
										Ativo                                    ","
										AV. ANTÔNIO BETTINI, 333                                    ","
										PARQUE EMPRESARIAL                                    ","
										18520000                                    ","
										CERQUILHO                                    ","
										SP                                    ","
										(15) 3384-3000                                    ","
										(O15) 3384-3000                                    ","ÓPTICA","
										Douglas Mayoral
                                    ","douglas@gero.com.br"
546,"SENAI/CETIQT - Centro de Tecnologia da Indústria Química e Têxtil","Laboratório de Colorimetria","
										Ativo                                    ","
										RUA DR. MANUEL COTRIM, 195                                    ","
										RIACHUELO                                    ","
										20961040                                    ","
										RIO DE JANEIRO                                    ","
										RJ                                    ","
										(21) 2582-1017/1020                                    ","
										(21) 2241-0495                                    ","ÓPTICA","
										Danielle Ferreira de Oliveira
                                    ","doliveira@cetiqt.senai.br"
547,"LABORATÓRIO CHROMPACK INSTRUMENTOS CIENTÍFICOS LTDA.","LABORATÓRIO CHROMPACK INSTRUMENTOS CIENTÍFICOS LTDA.","
										Ativo                                    ","
										AV. ENG. SARAIVA DE OLIVEIRA, 465                                    ","
										JD. TABOÃO                                    ","
										05741200                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 3384-9320                                    ","
										(11) 3384-9320                                    ","ÓPTICA","
										ALEXANDRE FASCINA DA SILVA
                                    ","alexandre@chrompack.com.br "
